AnimalID,SireID,DamID
PVGSJ18G0011082M,PVGSJ17F010M056,PVGSJ17F010R001
PVGSJ18G0011047M,PVGSJ17F010M032,PVGSJ17F010R391
PVHTC18G0006047M,0,0
PVGSJ18G0011015M,PVGSJ17F010M011,PVGSJ17F010R851
PVGSJ18G0011119M,PVGSJ17F010M073,PVGSJ17F010S676
PVGSJ18G0011017M,PVGSJ17F030M013,PVGSJ17F030R529
PVGSJ18G0011038M,PVGSJ17F010M026,PVGSJ17F010R791
PVGSJ18G0011114M,PVGSJ17F010M072,PVGSJ17F010S872
PVGSJ18G0011046M,PVGSJ17F010M031,PVGSJ17F010R887
PVGSJ18G0011113M,PVGSJ17F010M071,PVGSJ17F010R451
PVGSJ18G0011019M,PVGSJ17F010M015,PVGSJ17F010R837
PVHTC18G0006131M,0,0
PVGSJ18G0011037M,PVGSJ17F010M025,PVGSJ17F010R649
PVGSJ18G0011024M,PVGSJ17F010M019,PVGSJ17F010R277
PVGSJ18G0011129M,PVGSJ17F020M080,PVGSJ17F020R798
PVGSJ18G0011043M,PVGSJ17F010M030,PVGSJ17F010R899
PVGSJ18G0011134M,PVGSJ17F020M084,PVGSJ17F020S584
PVGSJ18G0011097M,PVGSJ17F010M061,PVGSJ17F010R494
PVGSJ18G0011018M,PVGSJ17F030M014,PVGSJ17F030R905
PVGSJ18G000A492,PVGSJ17F030M035,PVGSJ17F030R328
PVGSJ18G000R160,0,0
PVGSJ18G000A547,PVGSJ17F030M092,PVGSJ17F030S558
PVGSJ18G000A482,PVGSJ17F010M027,PVGSJ17F010R877
PVGSJ18G000A978,PVGSJ17F030M001,PVGSJ17F030R660
PVGSJ18G000C059,PVGSJ17F030M055,PVGSJ17F030R967
PVGSJ18G000C171,PVGSJ17F030M069,PVGSJ17F030R901
PVGSJ18G000A147,0,0
PVGSJ18G000A745,PVGSJ17F010M061,PVGSJ17F010R494
PVGSJ18G000A712,PVGSJ17F010M031,PVGSJ17F010R887
PVGSJ18G000A429,PVGSJ17F010M027,PVGSJ17F010R877
PVGSJ18G000A775,PVGSJ17F010M056,PVGSJ17F010R001
PVGSJ18G000A971,PVGSJ17F010M072,PVGSJ17F010S872
PVGSJ18G000B259,0,0
PVGSJ18G000A855,PVGSJ17F010M062,PVGSJ17F010R461
PVGSJ18G000A794,PVGSJ17F010M020,PVGSJ17F010R202
PVGSJ18G000A735,PVGSJ17F010M031,PVGSJ17F010R887
PVGSJ18G000A925,PVGSJ17F010M045,PVGSJ17F010R451
PVGSJ18G000A504,PVGSJ17F030M092,PVGSJ17F030S558
PVGSJ18G000A505,PVGSJ17F010M059,PVGSJ17F010R911
PVGSJ18G000C178,PVGSJ17F020M074,PVGSJ17F020S622
PVGSJ18G000C157,PVGSJ17F030M085,PVGSJ17F030R529
PVGSJ18G000A911,PVGSJ17F010M045,PVGSJ17F010R451
PVGSJ18G000A532,PVGSJ17F010M011,PVGSJ17F010R851
PVGSJ18G000C175,PVGSJ17F020M079,PVGSJ17F020S531
PVGSJ18G000C183,PVGSJ17F030M085,PVGSJ17F030R529
PVGSJ18G000A701,PVGSJ17F010M071,PVGSJ17F010R451
PVGSJ18G000A718,PVGSJ17F010M010,PVGSJ17F010R016
PVGSJ18G000C153,PVGSJ17F030M085,PVGSJ17F030R529
PVGSJ18G000A566,PVGSJ17F010M030,PVGSJ17F010R899
PVGSJ18G000A990,PVGSJ17F010M045,PVGSJ17F010R451
PVGSJ18G000A749,PVGSJ17F010M086,PVGSJ17F010S606
PVGSJ18G000C016,PVGSJ17F030M093,PVGSJ17F030S693
PVBPC19G0109341M,PVGSJ18G0011155M,PVGSJ18G000A492
PVBPC19G0106590M,0,0
PVBPC19G0109353M,PVGSJ18G0011082M,PVGSJ18G000R160
PVBPC19G0109491M,PVHTC18G0006007M,PVGSJ18G000A547
PVBPC19G0109H08M,0,0
PVBPC19G0109H03M,0,0
PVBPC19G0109H11M,0,0
PVBPC19G0109H10M,0,0
PVBPC19G0109H02M,0,0
PVBPC19G0109343M,PVGSJ18G0011047M,PVGSJ18G000A482
